step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
130,12978,130,1.2796575268287038,0.0,0.6206896551724138,,,
131,13027,131,1.1499922354711816,0.0,0.48148148148148145,,,
132,13156,132,2.0204573650667226,0.0,0.46551724137931033,,,
133,13373,133,2.0021365051608937,0.0,0.4846938775510204,,,
134,13454,134,1.5422189178687036,0.0,0.6216216216216216,,,
135,13487,135,0.5094204070708656,0.0,0.7857142857142857,,,
136,13584,136,1.710302635120024,0.0,0.45714285714285713,,,
137,13665,137,1.5243642215821165,0.0,0.582089552238806,2.410308073105795,0.0,0.4177215189873418
138,13786,138,1.6734037107670057,0.0,0.5779816513761468,,,
139,13819,139,0.7728530768118799,0.0,0.5333333333333333,,,
140,13940,140,2.427021566736628,0.0,0.3944954128440367,,,
141,13973,141,0.6630264019524839,0.0,0.5714285714285714,,,
142,14022,142,1.6000886201656732,0.0,0.4482758620689655,,,
143,14135,143,1.4176847081963015,0.0,0.5957446808510638,,,
144,14224,144,1.5863079902904162,0.0,0.4782608695652174,,,
145,14457,145,1.3202810903223594,0.0,0.647887323943662,2.660460265391835,0.0,0.42105263157894735
146,14634,146,2.124974661289962,0.0,0.41916167664670656,,,
147,14747,147,1.9976747698707809,0.0,0.494949494949495,,,
148,14804,148,1.082024000021317,0.0,0.5263157894736842,,,
149,14965,149,1.5488064756492277,0.0,0.5714285714285714,,,
150,15110,150,1.9205881544101149,0.0,0.52,,,
151,15183,151,2.017606994596103,0.0,0.4827586206896552,,,
152,15336,152,2.094629820320856,0.0,0.541095890410959,,,
153,15393,153,1.5948860390748867,0.0,0.4444444444444444,2.4598883099152986,0.0,0.35555555555555557
154,15530,154,1.0127377986963,0.0,0.6890756302521008,,,
155,15675,155,1.8790847319332735,0.0,0.5507246376811594,,,
156,15732,156,1.1321953967347715,0.0,0.5555555555555556,,,
157,15797,157,1.624338733772802,0.0,0.49056603773584906,,,
158,15870,158,1.174863251581159,0.0,0.6724137931034483,,,
159,15951,159,1.8912281080912798,0.0,0.4533333333333333,,,
160,16040,160,1.5338961390232329,0.0,0.5714285714285714,,,
161,16137,161,2.142856350067838,0.0,0.4146341463414634,2.5135711995730263,0.0,0.3
162,16210,162,1.6862493127390754,0.0,0.49230769230769234,,,
163,16251,163,1.0177276903180028,0.0,0.6538461538461539,,,
164,16404,164,1.4641879762469867,0.0,0.6285714285714286,,,
165,16485,165,1.27247762814838,0.0,0.5970149253731343,,,
166,16558,166,1.6502740896169819,0.0,0.45161290322580644,,,
167,16639,167,1.430004555740461,0.0,0.6521739130434783,,,
168,16736,168,1.667645446377826,0.0,0.5301204819277109,,,
169,16793,169,1.3846741156353215,0.0,0.45454545454545453,1.1865881983811655,0.0,0.16666666666666666
170,16866,170,1.4058830212215092,0.0,0.660377358490566,,,
171,16963,171,1.35925172827694,0.0,0.5131578947368421,,,
172,17020,172,0.40823870455314,0.0,0.6666666666666666,,,
173,17101,173,1.1986277791860631,0.0,0.5652173913043478,,,
174,17214,174,1.760499233915925,0.0,0.47191011235955055,,,
175,17279,175,1.0578691009231147,0.0,0.5609756097560976,,,
176,17440,176,1.30124133324935,0.0,0.6298701298701299,,,
177,17521,177,1.2848264428295335,0.0,0.6470588235294118,1.4814434758016914,0.0,0.36
178,17578,178,1.565810061339954,0.0,0.5434782608695652,,,
179,17619,179,1.1007428457217756,0.0,0.5517241379310345,,,
180,17772,180,2.01993961762064,0.0,0.5147058823529411,,,
181,17861,181,1.5348205722589552,0.0,0.4868421052631579,,,
182,17966,182,1.8988537160344068,0.0,0.5116279069767442,,,
183,18063,183,2.3780158233515367,0.0,0.4025974025974026,,,
184,18112,184,0.7226535790563503,0.0,0.7878787878787878,,,
185,18185,185,1.4051116795328886,0.0,0.6949152542372882,1.9233391045158108,0.0,0.42857142857142855
186,18298,186,1.2265283265215088,0.0,0.6382978723404256,,,
187,18347,187,0.951162043734552,0.0,0.5789473684210527,,,
188,18436,188,1.3373162430121341,0.0,0.5205479452054794,,,
189,18517,189,1.579878274113173,0.0,0.49333333333333335,,,
190,18550,190,0.6796887871728268,0.0,0.8421052631578947,,,
191,18607,191,1.21710588993514,0.0,0.5526315789473685,,,
192,18664,192,0.7402575711575705,0.0,0.75,,,
193,18745,193,1.330707804912149,0.0,0.5942028985507246,2.2169328248439037,0.0,0.3888888888888889
194,18834,194,1.9299616962725765,0.0,0.48717948717948717,,,
195,18939,195,0.9675337026426525,0.0,0.6031746031746031,,,
196,19060,196,1.5123191016476947,0.0,0.5486725663716814,,,
197,19101,197,0.5961146066678766,0.0,0.6785714285714286,,,
198,19134,198,0.3425864033633843,0.0,0.8,,,
199,19255,199,1.4256857306598982,0.0,0.6194690265486725,,,
200,19328,200,1.4798452029704043,0.0,0.5737704918032787,,,
201,19473,201,1.5264273239512556,0.0,0.544,0.5132886531413533,0.0,0.6923076923076923
